X,T,U
-0.40625,0.225,0.1458278243850673
0.625,0.045,-0.18606136206418988
-0.3125,0.24,0.17732719439409697
-0.765625,0.225,-0.8293793485147689
0.3125,0.06,0.07312630183001981
-0.4375,0.255,0.13206298238146597
0.34375,0.12,0.10105867912536476
-0.0625,0.045,0.00480784965416927
-0.484375,0.015,0.012398865624787314
-0.25,0.285,0.18075442042911147
0.890625,0.015,-0.7709630488191558
-0.28125,0.165,0.11383360798409346
-0.109375,0.18,0.027752838772691708
-0.6875,0.165,-0.5275925562647846
-0.296875,0.015,0.056574519253184685
-0.421875,0.15,0.09109313600544225
-0.015625,0.12,0.00048771680058623534
0.9375,0.09,-0.9363035984750109
0.171875,0.105,0.042813840892915504
-0.609375,0.075,-0.1805152766915217
-0.03125,0.075,0.0014352384924204292
0.703125,0.105,-0.4620554771729055
-0.09375,0.06,0.011364858762691478
0.234375,0.09,0.06374319147747019
-0.703125,0.21,-0.6608563711978817
-0.65625,0.105,-0.3308332412213188
0.453125,0.105,0.05078553353418783
-0.03125,0.06,0.0013276034614073118
-0.765625,0.285,-0.8947043137553554
0.84375,0.075,-0.761155649617014
-0.734375,0.12,-0.5778370840842588
0.078125,0.195,0.015779664308363806
-0.875,0.075,-0.8242680325383118
-0.84375,0.255,-0.9448182644592
-0.671875,0.135,-0.42439116906993807
0.34375,0.03,0.06466969379537799
0.03125,0.21,0.002893708846962828
0.890625,0.18,-0.9402086386393119
-0.578125,0.12,-0.1469923085902295
0.265625,0.105,0.07990414609400688
0.828125,0.195,-0.8876373731283724
-0.640625,0.06,-0.23396160712433461
-0.484375,0.27,0.04372696619699162
-0.703125,0.195,-0.632672770357134
0.75,0.225,-0.8003053279225542
0.765625,0.105,-0.6318029656933518
0.296875,0.105,0.08848484507633045
0.546875,0.045,-0.05496286675960779
0.25,0.0,0.04419417382415919
-0.671875,0.15,-0.4509179801218645
-0.78125,0.03,-0.5279940602185558
0.71875,0.24,-0.7549674287831238
0.234375,0.165,0.09252053546973574
0.203125,0.165,0.0754383886544325
0.421875,0.045,0.05409963845503514
-0.6875,0.06,-0.34485932687480053
-0.609375,0.21,-0.33922892819547285
-0.328125,0.03,0.06426408623830136
0.546875,0.105,-0.07416550831982499
0.90625,0.09,-0.8937905849119152
0.578125,0.045,-0.1015493030066005
0.640625,0.015,-0.18867560034047087
-0.703125,0.18,-0.6040577960128585
-0.484375,0.195,0.030192224489406616
0.015625,0.165,0.0006311499223159434
-0.515625,0.03,-0.015178764536930511
0.34375,0.27,0.21005050277853576
0.453125,0.075,0.04375084107168417
-1.0,0.06,-0.9972687484688372
0.78125,0.12,-0.6980798795718799
-0.953125,0.165,-0.9778121204234523
-0.765625,0.075,-0.5743334563941807
0.609375,0.24,-0.3864274666983262
-0.359375,0.06,0.07441404393303797
0.046875,0.285,0.009258083758624358
-0.640625,0.03,-0.20279746663539056
-0.8125,0.285,-0.938886341953505
0.953125,0.015,-0.9108995087410059
-0.640625,0.075,-0.2510841648666322
0.90625,0.015,-0.8077208627709547
-0.359375,0.015,0.059498825480850795
-0.296875,0.15,0.11054398074959373
0.53125,0.21,-0.07921452041192187
-0.8125,0.21,-0.8824030779060242
-1.0,0.15,-0.9980841551478429
-0.46875,0.24,0.07086884117584658
-0.953125,0.12,-0.9658724877377192
-0.8125,0.24,-0.9088325051054083
-0.515625,0.0,-0.013045580405897983
